mode,n_comments,n_nodes,n_edges,n_canopies,n_clusters,canopy_sec,build_sec,cluster_sec,score_sec,total_sec,modularity,conductance_mean,avg_degree,density,num_components,num_suspicious_clusters,num_suspicious_users,suspicious_cluster_ratio,suspicious_user_ratio,avg_cluster_density,avg_content_repetition,avg_temporal_burst,avg_high_frequency,avg_account_age_ratio,account_age_coverage,intra_canopy_edge_ratio,mean_suspicious_score,max_suspicious_score
kruskal_only,200,199,1258,192,103,0.222375400015153,0.010274200001731515,0.012378300016280264,0.043530400027520955,0.2885583000606857,0.3111634110513076,0.7252470912347296,12.64321608040201,0.06385462666869703,7.0,1.0,2.0,0.009708737864077669,0.010050251256281407,0.05770374205164195,0.00735751976067716,0.06454294745841273,0.0005393743257820927,,0.0,,0.45711708770497644,0.45711708770497644
pipeline,300,299,1789,284,155,1.163235500047449,0.014510200009681284,0.01708590000635013,0.06066469999495894,1.2554963000584394,0.39933606893046375,0.7135862682077199,11.966555183946488,0.04015622544948486,12.0,1.0,2.0,0.0064516129032258064,0.006688963210702341,0.061201291463466145,0.008811456474560272,0.049771601584351434,0.00028050490883590464,,0.0,0.0,0.46024465453223323,0.46024465453223323
pipeline,300,299,1789,284,155,0.9461279999813996,0.01811870001256466,0.017605000000912696,0.05534259998239577,1.0371942999772727,0.39933606893046375,0.7135862682077199,11.966555183946488,0.04015622544948486,12.0,1.0,2.0,0.0064516129032258064,0.006688963210702341,0.061201291463466145,0.008811456474560272,0.049771601584351434,0.00028050490883590464,,0.0,0.0,0.46024465453223323,0.46024465453223323
canopy_only,300,299,0,284,284,0.9734940000344068,0.0,0.0,0.0,0.9734940000344068,,,,,,,,,,,,,,,,,,
canopy_only,300,299,0,284,284,0.6417233000393026,0.0,0.0,0.0,0.6417233000393026,,,,,,,,,,,,,,,,,,
kruskal_only,300,299,1785,284,155,0.9635224000085145,0.01528120000148192,0.017376899952068925,0.06232570001157001,1.0585061999736354,0.3754516045118831,0.7521797501762314,11.939799331103679,0.04006644070840161,12.0,1.0,2.0,0.0064516129032258064,0.006688963210702341,0.07654623019364523,0.010029831762608472,0.06813430498154817,0.0003795066413662239,,0.0,,0.4638645640344957,0.4638645640344957
kruskal_only,300,299,1785,284,155,0.7266572000226006,0.014354999992065132,0.017630000016652048,0.062387899961322546,0.8210300999926403,0.3754516045118831,0.7521797501762314,11.939799331103679,0.04006644070840161,12.0,1.0,2.0,0.0064516129032258064,0.006688963210702341,0.07654623019364523,0.010029831762608472,0.06813430498154817,0.0003795066413662239,,0.0,,0.4638645640344957,0.4638645640344957
pipeline,500,498,2865,426,252,0.9505237999837846,0.022279300028458238,0.028258200036361814,0.14993459999095649,1.150995900039561,0.27310075297841513,0.7788729307540269,11.506024096385541,0.023150953916268698,19.0,1.0,2.0,0.003968253968253968,0.004016064257028112,0.04293877542800018,0.005430944552734604,0.02545070512612387,2.3480792711561942e-05,,0.0,0.004307176891863399,0.45092282117825433,0.45092282117825433
pipeline,500,498,2865,426,252,1.3452143999747932,0.023283899994567037,0.02754300000378862,0.08738809998612851,1.4834293999592774,0.27310075297841513,0.7788729307540269,11.506024096385541,0.023150953916268698,19.0,1.0,2.0,0.003968253968253968,0.004016064257028112,0.04293877542800018,0.005430944552734604,0.02545070512612387,2.3480792711561942e-05,,0.0,0.004307176891863399,0.45092282117825433,0.45092282117825433
canopy_only,500,498,0,426,426,1.3342203999636695,0.0,0.0,0.0,1.3342203999636695,,,,,,,,,,,,,,,,,,
canopy_only,500,498,0,426,426,1.5285925000207499,0.0,0.0,0.0,1.5285925000207499,,,,,,,,,,,,,,,,,,
kruskal_only,500,498,2859,426,248,1.2004712000489235,0.02180490002501756,0.028276700002606958,0.112112500006333,1.362665300082881,0.3644731930173529,0.8110487102980372,11.481927710843374,0.02310247024314562,19.0,1.0,2.0,0.004032258064516129,0.004016064257028112,0.08260993113067772,0.009827556899385614,0.047395889076595844,0.00011859582542694497,,0.0,,0.4538639976488425,0.4538639976488425
kruskal_only,500,498,2859,426,248,1.1872219000360928,0.02264009998179972,0.027616299979854375,0.11376870004460216,1.351247000042349,0.3644731930173529,0.8110487102980372,11.481927710843374,0.02310247024314562,19.0,1.0,2.0,0.004032258064516129,0.004016064257028112,0.08260993113067772,0.009827556899385614,0.047395889076595844,0.00011859582542694497,,0.0,,0.4538639976488425,0.4538639976488425
