id,label,canopy,comment_count,reply_count,mention_count,thread_count,total_likes,avg_likes,first_timestamp,last_timestamp,threads,text_sample
6814332639731713025,yeojm168,canopy_070,1,0,0,0,165,165.0,1774231157,1774231157,[],"stop all aggression, world peace….both parties must sit down negotiate for peace… superboy"
6818925100223120390,is.sa.gi,canopy_164,1,0,0,0,15,15.0,1774265093,1774265093,[],I am praying for the Lebanese people now 🙏🏻 Past❌ present☀️ and future🪐
6818997048034018306,bear321,canopy_025,1,0,0,0,5,5.0,1774234048,1774234048,[],STOP WAR Julio
6819677799301809158,robert04210,canopy_143,1,0,0,0,4,4.0,1774258094,1774258094,[],What does Benjamin say? robert04210
6821664407849092102,kandicemccollumgordon,canopy_345,1,0,0,0,5,5.0,1774270022,1774270022,[],Where was/is the coverage and care about Gaza? This is just so infuriating to the world. Kandice McCollum Gor
6826821136366994437,bobdacraic,canopy_203,1,0,0,0,4,4.0,1774222264,1774222264,[],[Sticker] Bob Dacraic
6828012366325957638,_danielalencar,canopy_078,1,0,0,0,6,6.0,1774238509,1774238509,[],[Sticker] Daniel Alencar
6828658690528592901,mikelaiti1,canopy_239,1,0,0,0,5,5.0,1774221574,1774221574,[],[Sticker] Mike Laiti
6829337968281682949,tiktokblaal,canopy_040,1,0,0,0,775,775.0,1774215951,1774215951,[],tiktokblaal
6831114394236601346,kenapabruh,canopy_032,1,0,0,0,86,86.0,1774230053,1774230053,[],Riff 😎
6834143886405157894,hameescatchee21,canopy_334,1,0,0,0,69,69.0,1774227239,1774227239,[],Is this AI… Hamees
6834231924526826502,ikyhamza,canopy_204,1,0,0,0,7,7.0,1774256956,1774256956,[],[Sticker] iky
6837101733156684806,dennohspin1,canopy_076,1,0,0,0,5,5.0,1774382722,1774382722,[],so sorry for that spinter dennoh 1🇹🇷
6842047849288287238,johanofnorway,canopy_297,1,0,0,0,10,10.0,1774471187,1774471187,[],The last 75 years have proving Israel is the true danger to the world. johanofnorway
6842625485920437250,lamawangju,canopy_033,1,0,0,0,17,17.0,1774229397,1774229397,[],Stop war 🇳🇵WANGJU  LAMA 🇯🇵(ཝང་།)
6848622157234734086,mig.vaz1,canopy_350,1,0,0,0,3,3.0,1774343604,1774343604,[],Shame the press couldn't cover the atrocities made in Gaza. 😞 Nobody
